experiment_name,sigma,noise,eps,top_1_acc_train,top_1_acc_cert,top_1_acc_pred
cifar_laplace_05,0.5,LaplaceNoise,1.4081632653061225,0.8235400000000003,0.1887,0.7272
cifar_laplace_05,0.5,LaplaceNoise,1.4387755102040816,0.8235400000000003,0.1842,0.7272
cifar_laplace_05,0.5,LaplaceNoise,1.4693877551020407,0.8235400000000003,0.1794,0.7272
cifar_laplace_05,0.5,LaplaceNoise,1.5,0.8235400000000003,0.174,0.7272
cifar_expinf_05,0.5,ExpInfNoise,0.0,0.12852,0.1443,0.1683
cifar_expinf_05,0.5,ExpInfNoise,0.030612244897959183,0.12852,0.1417,0.1683
cifar_expinf_05,0.5,ExpInfNoise,0.061224489795918366,0.12852,0.1384,0.1683
cifar_expinf_05,0.5,ExpInfNoise,0.09183673469387754,0.12852,0.1348,0.1683
cifar_expinf_05,0.5,ExpInfNoise,0.12244897959183673,0.12852,0.1315,0.1683
cifar_expinf_05,0.5,ExpInfNoise,0.15306122448979592,0.12852,0.1288,0.1683
cifar_expinf_05,0.5,ExpInfNoise,0.18367346938775508,0.12852,0.1261,0.1683
cifar_expinf_05,0.5,ExpInfNoise,0.21428571428571427,0.12852,0.1244,0.1683
cifar_expinf_05,0.5,ExpInfNoise,0.24489795918367346,0.12852,0.1202,0.1683
cifar_expinf_05,0.5,ExpInfNoise,0.2755102040816326,0.12852,0.1176,0.1683
cifar_expinf_05,0.5,ExpInfNoise,0.30612244897959184,0.12852,0.115,0.1683
cifar_expinf_05,0.5,ExpInfNoise,0.336734693877551,0.12852,0.1114,0.1683
cifar_expinf_05,0.5,ExpInfNoise,0.36734693877551017,0.12852,0.1083,0.1683
cifar_expinf_05,0.5,ExpInfNoise,0.3979591836734694,0.12852,0.1059,0.1683
cifar_expinf_05,0.5,ExpInfNoise,0.42857142857142855,0.12852,0.1046,0.1683
cifar_expinf_05,0.5,ExpInfNoise,0.45918367346938777,0.12852,0.1013,0.1683
cifar_expinf_05,0.5,ExpInfNoise,0.4897959183673469,0.12852,0.0979,0.1683
cifar_expinf_05,0.5,ExpInfNoise,0.5204081632653061,0.12852,0.0946,0.1683
cifar_expinf_05,0.5,ExpInfNoise,0.5510204081632653,0.12852,0.0908,0.1683
cifar_expinf_05,0.5,ExpInfNoise,0.5816326530612245,0.12852,0.088,0.1683
cifar_expinf_05,0.5,ExpInfNoise,0.6122448979591837,0.12852,0.0855,0.1683
cifar_expinf_05,0.5,ExpInfNoise,0.6428571428571428,0.12852,0.0832,0.1683
cifar_expinf_05,0.5,ExpInfNoise,0.673469387755102,0.12852,0.0797,0.1683
